Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,4.590000,4.700000,4.490000,4.600000,3.973322,230300
2015-09-23,4.620000,4.650000,4.490000,4.510000,3.895584,172100
2015-09-24,4.440000,4.580000,4.440000,4.540000,3.921495,116300
2015-09-25,4.590000,4.710000,4.500000,4.710000,4.068336,203600
2015-09-28,4.680000,4.680000,4.590000,4.630000,3.999236,164300
2015-09-29,4.600000,4.600000,4.420000,4.460000,3.852395,237400
2015-09-30,4.530000,4.660000,4.490000,4.650000,4.016511,199200
2015-10-01,4.750000,4.870000,4.730000,4.780000,4.128799,197300
2015-10-02,4.770000,4.970000,4.770000,4.900000,4.232451,227900
2015-10-05,4.900000,5.230000,4.900000,5.200000,4.491580,125400
2015-10-06,5.260000,5.320000,5.190000,5.280000,4.560683,173300
2015-10-07,5.340000,5.450000,5.290000,5.450000,4.707522,137800
2015-10-08,5.460000,5.470000,5.330000,5.400000,4.664334,111700
2015-10-09,5.460000,5.540000,5.390000,5.470000,4.724798,443200
2015-10-12,5.540000,5.540000,5.400000,5.480000,4.733437,73800
2015-10-13,5.420000,5.440000,5.240000,5.260000,4.543407,323300
2015-10-14,5.280000,5.340000,5.220000,5.250000,4.534770,148900
2015-10-15,5.260000,5.320000,5.160000,5.200000,4.491580,216100
2015-10-16,5.210000,5.240000,5.120000,5.160000,4.457032,66000
2015-10-19,5.140000,5.150000,5.040000,5.120000,4.422482,86300
2015-10-20,5.180000,5.320000,5.130000,5.170000,4.465669,295200
2015-10-21,5.150000,5.350000,4.990000,5.160000,4.457032,829100
2015-10-22,5.230000,5.380000,5.210000,5.360000,4.629785,253100
2015-10-23,5.350000,5.350000,5.240000,5.240000,4.526132,226400
2015-10-26,5.270000,5.280000,5.050000,5.080000,4.387930,140300
2015-10-27,5.000000,5.030000,4.800000,4.840000,4.180625,139800
2015-10-28,4.870000,4.980000,4.790000,4.830000,4.171988,199600
2015-10-29,4.830000,4.830000,4.560000,4.680000,4.042424,249300
2015-10-30,4.690000,4.730000,4.530000,4.640000,4.007874,176200
2015-11-02,4.730000,4.740000,4.580000,4.730000,4.085611,160100
2015-11-03,4.750000,4.780000,4.640000,4.760000,4.111525,327800
2015-11-04,4.740000,4.860000,4.660000,4.850000,4.189262,378100
